,name,price
392,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
393,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
394,"Infinix HOT 30i (Diamond White, 128 GB)",8999
395,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
396,"Infinix HOT 30i (Marigold, 64 GB)",7999
397,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
398,"POCO C50 (Royal Blue, 32 GB)",5649
399,"POCO C51 (Royal Blue, 64 GB)",6999
400,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
401,"POCO C51 (Power Black, 64 GB)",6999
402,"POCO C50 (Country Green, 32 GB)",5649
403,"REDMI 10 (Shadow Black, 64 GB)",9499
404,"POCO C55 (Cool Blue, 64 GB)",7749
405,"REDMI A1+ (Light Blue, 32 GB)",6599
406,"REDMI A1+ (Light Green, 32 GB)",6599
407,"POCO C55 (Power Black, 64 GB)",7749
408,"Infinix SMART 7 (Night Black, 64 GB)",7299
409,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
410,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
411,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
412,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
413,"Infinix HOT 30i (Marigold, 128 GB)",8999
414,"Infinix HOT 30i (Diamond White, 64 GB)",7999
415,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
416,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
417,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
418,"Infinix HOT 30i (Diamond White, 128 GB)",8999
419,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
420,"Infinix HOT 30i (Marigold, 64 GB)",7999
421,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
422,"POCO C50 (Royal Blue, 32 GB)",5649
423,"POCO C51 (Royal Blue, 64 GB)",6999
424,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
425,"POCO C51 (Power Black, 64 GB)",6999
426,"POCO C50 (Country Green, 32 GB)",5649
427,"REDMI 10 (Shadow Black, 64 GB)",9499
428,"POCO C55 (Cool Blue, 64 GB)",7749
429,"REDMI A1+ (Light Blue, 32 GB)",6599
430,"REDMI A1+ (Light Green, 32 GB)",6599
431,"POCO C55 (Power Black, 64 GB)",7749
432,"Infinix SMART 7 (Night Black, 64 GB)",7299
433,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
434,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
435,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
436,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
437,"Infinix HOT 30i (Marigold, 128 GB)",8999
438,"Infinix HOT 30i (Diamond White, 64 GB)",7999
439,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
440,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
441,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
442,"Infinix HOT 30i (Diamond White, 128 GB)",8999
443,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
444,"Infinix HOT 30i (Marigold, 64 GB)",7999
445,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
446,"POCO C50 (Royal Blue, 32 GB)",5649
447,"POCO C51 (Royal Blue, 64 GB)",6999
448,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
449,"POCO C51 (Power Black, 64 GB)",6999
450,"POCO C50 (Country Green, 32 GB)",5649
451,"REDMI 10 (Shadow Black, 64 GB)",9499
452,"POCO C55 (Cool Blue, 64 GB)",7749
453,"REDMI A1+ (Light Blue, 32 GB)",6599
454,"REDMI A1+ (Light Green, 32 GB)",6599
455,"POCO C55 (Power Black, 64 GB)",7749
456,"Infinix SMART 7 (Night Black, 64 GB)",7299
457,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
458,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
